435  4724 
376  2487 
538  5993 
542  5687 
564  5942 
501  5650 
528  5750 
565  5684 
413  4289 
414  4439 
502  5389 
549  5591 
390  3934 
520  5742 
411  4159 
486  5526 
559  5642 
519  5423 
584  5885 
553  6022 
511  5695 
392  3865 
545  5595 
516  5607 
526  5705 
599  5756 
578  5656 
421  4840 
381  3208 
559  5726 
458  5441 
540  5850 
568  5688 
612  6353 
499  5695 
463  5632 
620  6356 
520  5593 
550  5573 
527  5723 
382  3234 
531  5596 
556  5946 
483  5819 
471  5322 
564  5700 
500  5571 
429  4968 
412  4266 
471  5145 
413  4458 
510  5660 
590  6065 
616  5990 
424  4703 
568  5800 
509  5637 
483  5801 
463  5210 
596  5726 
499  5702 
447  4944 
440  5055 
552  5704 
423  4829 
518  5821 
491  5525 
467  4967 
584  5966 
519  6018 
504  5837 
583  5626 
402  4120 
546  5678 
525  5523 
561  5606 
427  4857 
409  4280 
567  5896 
567  5809 
538  5708 
563  5944 
564  6005 
580  6351 
582  5665 
451  4998 
441  5266 
455  5183 
524  5455 
516  5765 
577  6229 
484  5654 
556  6261 
443  5176 
492  5930 
488  5498 
509  5444 
469  5338 
419  4873 
425  4558 
